Region,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Beijing,3.76,4.12,3.01,4.83,4.41,4.74,4.02,3.07,3.5,3.42
Tianjin,2.6,1.83,0.23,2.14,2.28,2.63,2.5,2.6,2.6,2.19
Hebei,6.6,6.06,5.56,6.95,6.17,6.47,6.5,6.81,6.5,6.55
Shanxi,5.61,4.77,4.42,4.99,5.24,4.87,4.86,5.3,4.89,5.31
Inner Mongolia,3.73,3.34,2.4,3.56,3.36,3.65,3.51,3.76,3.96,4.27
Liaoning,-0.44,-0.18,-0.42,0.26,-0.03,-0.39,-0.34,0.42,0.97,1.1
Jilin,0.26,-0.05,0.34,0.4,0.32,0.36,1.02,2.03,1.95,1.61
Heilongjiang,-0.41,-0.49,-0.6,0.91,0.78,1.27,1.07,2.32,2.06,2.23
Shanghai,2.8,4,2.45,3.14,2.94,4.2,1.87,1.98,2.7,2.72
Jiangsu,2.68,2.73,2.02,2.43,2.43,2.45,2.61,2.85,2.56,2.3
Zhejiang,6.36,5.7,5.02,5,4.56,4.6,4.07,4.73,4.63,4.58
Anhui,8.17,7.06,6.98,6.97,6.82,6.86,6.32,6.75,6.47,6.45
Fujian,8.8,8.3,7.8,7.5,6.19,7.01,6.21,6.11,6.2,6.3
Jiangxi,7.71,7.29,6.96,6.98,6.91,7.32,7.5,7.66,7.89,7.91
Shandong,10.14,10.84,5.88,7.39,5.01,4.95,5.1,5.39,5.62,5.09
Henan,5.98,6.15,5.65,5.78,5.51,5.16,4.94,4.95,4.99,4.97
Hubei,5.59,5.07,4.91,4.9,4.93,4.88,4.38,4.34,3.48,2.71
Hunan,6.19,6.56,6.72,6.63,6.54,6.57,6.55,6.4,6.11,5.4
Guangdong,9.16,7.44,6.8,6.1,6.02,6.95,6.1,6.97,7.26,7.25
Guangxi,8.92,7.87,7.9,7.86,7.93,7.89,7.67,8.65,8.53,8.7
Hainan,8.72,8.57,8.57,8.61,8.69,8.85,8.97,8.98,8.96,8.99
Chongqing,3.91,4.53,3.86,3.62,3.6,4,3.17,2.77,3.7,3.8
Sichuan,4.23,3.49,3.36,3.2,3,2.97,2.98,2.31,2.72,2.39
Guizhou,7.1,6.5,5.8,5.8,5.9,6.31,6.38,7.41,6.96,6.72
Yunnan,6.85,6.61,6.4,6.2,6.17,6.22,6.35,6.54,6.08,6.32
Tibet,11.05,10.68,10.65,10.55,10.38,10.27,10.26,10.25,10.24,10.3
Shaanxi,4.87,4.41,3.82,3.87,3.86,3.88,3.69,3.72,4,4.08
Gansu,6.02,6,6.21,6.1,6.08,6.06,6.05,6.03,6.61,6.54
Qinghai,8.25,8.52,8.55,8.49,8.03,8.24,8.31,8.63,8.32,8.35
Ningxia,8.69,8.97,8.04,8.57,8.62,8.93,8.97,9.04,9.68,9.69
Xinjiang,11.4,11.08,11.08,11.47,10.92,10.84,10.57,10.56,10.56,11.17
